|   ID | Manufacturer_Name                          | City        | State           |
|  294 | ROXY INTERNATIONAL                        | Jaipur       | Rajasthan       |
|  295 | -                                         | Surat        | Gujarat         |
|  296 | M/S JO & JEN ENTERPRISES                  | Jaipur       | Rajasthan       |
|  297 | Keshubaba Ventures                        | Mumbai       | Maharashtra     |
|  298 | -                                         | Surat        | Gujarat         |
|  299 | Jaypee Spintex Pvt Ltd                    | Noida        | Uttar Pradesh   |
|  300 | Swastik Corporation                       | Jaipur       | Rajasthan       |
|  301 | -                                         | Mumbai       | Maharashtra     |
|  302 | Saree Swarg                               | Bhiwandi     | Maharashtra     |
|  303 | FERANOID                                  | Jaipur       | Rajasthan       |
|  304 | Kavita women wear Pvt Ltd                 | Noida        | Uttar Pradesh   |
|  305 | D W APPARELS                              | Surat        | Gujarat         |
|  306 | B S Fashion                               | Jaipur       | Rajasthan       |
|  307 | RKM INTERNATIONAL LLP                     | Jaipur       | Rajasthan       |
|  308 | M.K.Tailoring House                       | Jaipur       | Rajasthan       |
|  309 | Divyank Fashion Pvt.Ltd.                  | Jaipur       | Rajasthan       |
|  310 | Cheshtaa Apparels India Pvt Ltd           | New Delhi    | Delhi           |
|  311 | SOCH APPARELS PVT LTD                     | Bengaluru    | Karnataka       |
|  312 | SkyLand Creation                          | Surat        | Gujarat         |
|  313 | NETWORK CLOTHING COMPANY PRIVATE LIMITED  | Tirupur      | Tamil Nadu      |
|  314 | Indicut Lifestyle LLP                     | Surat        | Gujarat         |
|  315 | Studio Shringaar Private Limited          | Mumbai       | Maharashtra     |
|  316 | Brand Baaja Bride LLP                     | Surat        | Gujarat         |
|  317 | United Textile Mills Pvt Ltd              | Mumbai       | Maharashtra     |
|  318 | Samhitas Apparel                          | Bengaluru    | Karnataka       |
|  319 | Retail Boost                              | Surat        | Gujarat         |
|  320 | SANSKRUTI EXPORTS                        | Jaipur       | Rajasthan       |
|  321 | In Time Garments Private Limited           | Faridabad    | Haryana         |
|  322 | Step by Step Creations                    | New Delhi    | Delhi           |
|  323 | Patiala House                             | Surat        | Gujarat         |
|  324 | Go Fashion (India) Limited                | Chennai      | Tamil Nadu      |
|  325 | Amitto                                    | Delhi        | Delhi           |
|  326 | Go Fashion India Private Limited          | Tiruppur     | Tamil Nadu      |
|  327 | NETWORK CLOTHING COMPANY PRIVATE LIMITED  | Tirupur      | Tamil Nadu      |
|  328 | Laado Creations                           | Delhi        | Delhi           |
|  329 | Neel fab & fashion                        | Jaipur       | Rajasthan       |
|  330 | Lifestyle Int Pvt Ltd                     | Bangalore    | Karnataka       |
|  331 | KANAV APPARELS                            | Ludhiana     | Punjab          |
|  332 | Go Fashion India Private Limited          | Chennai      | Tamil Nadu      |
|  333 | Soch Apparels Pvt Limited                 | Bengaluru    | Karnataka       |
|  334 | Go Fashion (India) Limited                | Chennai      | Tamil Nadu      |
|  335 | Castle                                    | New Delhi    | Delhi           |
|  336 | Go Fashion India Limited                  | Chennai      | Tamil Nadu      |
|  337 | Shivay Creations                          | Delhi        | Delhi           |
|  338 | Miaz lifestyle                            | New Delhi    | Delhi           |
|  339 | Global eTree ServicesPvt. Ltd.           | New Delhi    | Delhi           |
|  340 | Shine N Sober                           | New Delhi    | Delhi           |
|  341 | Clora Creation                            | New Delhi    | Delhi           |
|  342 | Trendmalls Industries Private Limited     | Surat        | Gujarat         |
|  343 | LetsDressUp Fashion Private Limited       | Gurgaon      | Haryana         |
|  344 | -                                         | Delhi        | Delhi           |
|  345 | Go Fashion India Private Limited          | Chennai      | Tamil Nadu      |
|  346 | -                                         | Jaipur       | Rajasthan       |
|  347 | TAHVO DESIGNS AND PRODUCTIONS PRIVATE LIMITED | Gurgaon      | Haryana         |
|  348 | Dhruv Global Ltd.                         | Faridabad    | Haryana         |
|  349 | Goodwill Impex Limited                    | Jaipur       | Rajasthan       |
|  350 | OTABU                                     | Surat        | Gujarat         |
|  351 | Fablestreet Lifestyle Solutions Pvt Ltd   | Gurgaon      | Haryana         |
|  352 | OTABU                                     | Surat        | Gujarat         |
